SOUID,    DATE,   CC, Q_CC
105608,19860710,    7,    0
105608,19860711,    6,    0
105608,19860712,    8,    0
105608,19860713,    8,    0
105608,19860714,    7,    0
105608,19860715,    8,    0
105608,19860716,    8,    0
105608,19860717,    6,    0
105608,19860718,    7,    0
105608,19860719,    8,    0
105608,19860720,    6,    0
105608,19860721,    5,    0
105608,19860722,    6,    0
105608,19860723,    5,    0
105608,19860724,    5,    0
105608,19860725,    7,    0
105608,19860726,    8,    0
105608,19860727,    8,    0
105608,19860728,    8,    0
105608,19860729,    6,    0
105608,19860730,    7,    0
105608,19860731,    7,    0
105608,19860801,    6,    0
105608,19860802,    7,    0
105608,19860803,    7,    0
105608,19860804,    7,    0
105608,19860805,    7,    0
105608,19860806,    8,    0
105608,19860807,    6,    0
105608,19860808,    4,    0
105608,19860809,    5,    0
105608,19860810,    5,    0
105608,19860811,    5,    0
105608,19860812,    5,    0
105608,19860813,    7,    0
105608,19860814,    7,    0
105608,19860815,    7,    0
105608,19860816,    6,    0
105608,19860817,    6,    0
105608,19860818,    8,    0
105608,19860819,    7,    0
105608,19860820,    6,    0
105608,19860821,    8,    0
105608,19860822,    6,    0
105608,19860823,    4,    0
105608,19860824,    5,    0
105608,19860825,    7,    0
105608,19860826,    7,    0
105608,19860827,    7,    0
105608,19860828,    5,    0
105608,19860829,    7,    0
105608,19860830,    6,    0
105608,19860831,    5,    0
105608,19860901,    5,    0
105608,19860902,    7,    0
105608,19860903,    5,    0
105608,19860904,    7,    0
105608,19860905,    7,    0
105608,19860906,    6,    0
105608,19860907,    6,    0
105608,19860908,    3,    0
105608,19860909,    4,    0
105608,19860910,    2,    0
105608,19860911,    3,    0
105608,19860912,    4,    0
105608,19860913,    4,    0
105608,19860914,    2,    0
105608,19860915,    2,    0
105608,19860916,    2,    0
105608,19860917,    4,    0
105608,19860918,    3,    0
105608,19860919,    5,    0
105608,19860920,    8,    0
105608,19860921,    8,    0
105608,19860922,    8,    0
105608,19860923,    7,    0
105608,19860924,    6,    0
903162,19860925,    3,    0
105608,19860926,    8,    0
903162,19860927,    8,    0
105608,19860928,    8,    0
105608,19860929,    8,    0
105608,19860930,    8,    0
105608,19861001,    8,    0
105608,19861002,    5,    0
105608,19861003,    6,    0
105608,19861004,    3,    0
105608,19861005,    8,    0
105608,19861006,    6,    0
105608,19861007,    7,    0
903162,19861008,    5,    0
105608,19861009,    8,    0
105608,19861010,    4,    0
105608,19861011,    2,    0
105608,19861012,    4,    0
105608,19861013,    7,    0
105608,19861014,    7,    0
105608,19861015,    3,    0
105608,19861016,    6,    0
105608,19861017,    6,    0
105608,19861018,    8,    0
105608,19861019,    6,    0
105608,19861020,    6,    0
105608,19861021,    7,    0
105608,19861022,    6,    0
105608,19861023,    4,    0
105608,19861024,    8,    0
105608,19861025,    7,    0
105608,19861026,    5,    0
105608,19861027,    8,    0
105608,19861028,    7,    0
105608,19861029,    6,    0
105608,19861030,    6,    0
105608,19861031,    6,    0
105608,19861101,    4,    0
105608,19861102,    5,    0
105608,19861103,    5,    0
105608,19861104,    6,    0
105608,19861105,    6,    0
105608,19861106,    5,    0
105608,19861107,    8,    0
105608,19861108,    6,    0
105608,19861109,    8,    0
105608,19861110,    7,    0
105608,19861111,    6,    0
105608,19861112,    6,    0
105608,19861113,    8,    0
105608,19861114,    8,    0
105608,19861115,    7,    0
105608,19861116,    6,    0
105608,19861117,    5,    0
105608,19861118,    7,    0
105608,19861119,    6,    0
105608,19861120,    4,    0
105608,19861121,    4,    0
105608,19861122,    8,    0
105608,19861123,    7,    0
105608,19861124,    8,    0
105608,19861125,    8,    0
105608,19861126,    5,    0
105608,19861127,    8,    0
105608,19861128,    8,    0
105608,19861129,    8,    0
105608,19861130,    8,    0
105608,19861201,    7,    0
105608,19861202,    8,    0
105608,19861203,    8,    0
105608,19861204,    8,    0
105608,19861205,    7,    0
105608,19861206,    5,    0
105608,19861207,    8,    0
105608,19861208,    8,    0
105608,19861209,    6,    0
105608,19861210,    7,    0
105608,19861211,    7,    0
105608,19861212,    6,    0
105608,19861213,    5,    0
105608,19861214,    3,    0
105608,19861215,    7,    0
105608,19861216,    7,    0
105608,19861217,    7,    0
105608,19861218,    6,    0
105608,19861219,    5,    0
105608,19861220,    3,    0
105608,19861221,    4,    0
105608,19861222,    3,    0
105608,19861223,    5,    0
903162,19861224,    7,    0
105608,19861225,    6,    0
105608,19861226,    5,    0
105608,19861227,    5,    0
105608,19861228,    7,    0
105608,19861229,    8,    0
105608,19861230,    8,    0
105608,19861231,    8,    0
105608,19870101,    8,    0
105608,19870102,    5,    0
105608,19870103,    4,    0
105608,19870104,    6,    0
105608,19870105,    5,    0
105608,19870106,    2,    0
105608,19870107,    1,    0
105608,19870108,    4,    0
105608,19870109,    6,    0
105608,19870110,    7,    0
105608,19870111,    4,    0
105608,19870112,    5,    0
903162,19870113,    3,    0
105608,19870114,    8,    0
105608,19870115,    8,    0
105608,19870116,    8,    0
105608,19870117,    8,    0
